Species,Tissue,Source,Result,Binary
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
SHEEP,MUSCLE,ABATTOIR,NEGATIVE,0
PIG,LIVER,PME,NEGATIVE,0
PIG,MUSCLE,PME,NEGATIVE,0
PIG,LIVER,PME,NEGATIVE,0
PIG,LIVER,PME,NEGATIVE,0
PIG,LIVER,PME,NEGATIVE,0
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,NEGATIVE,0
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,POSITIVE,1
PIG,LIVER,PME,NEGATIVE,0
PIG,MUSCLE,PME,POSITIVE,1
PIG,MUSCLE,PME,POSITIVE,1
GOAT,MUSCLE,PME,NEGATIVE,0
GOAT,LIVER,PME,POSITIVE,1
GOAT,LIVER,PME,POSITIVE,1
GOAT,LIVER,PME,NEGATIVE,0
GOAT,LIVER,PME,NEGATIVE,0
GOAT,LIVER,PME,NEGATIVE,0
GOAT,LIVER,PME,POSITIVE,1
GOAT,LIVER,PME,NEGATIVE,0
GOAT,LIVER,PME,POSITIVE,1
GOAT,LIVER,PME,POSITIVE,1
GOAT,LIVER,PME,POSITIVE,1
